"simulation","model","treatment_effect","anticipation_effect","naive_se_t","naive_se_a","naive_coverage_t","naive_power_t","naive_coverage_a","alpha_sd","convergence"
1275,"HH-ANT",0.0286933327885226,0.0464525433540246,0.0240177929067263,0.0224148362486233,100,100,0,0.136469626041863,1
1276,"HH",0.00786683148263661,NA,0.0204784315613471,NA,100,100,NA,0.174323695473303,1
1276,"HH-ANT",0.00690485064813795,-0.00164912295886138,0.0243333658192036,0.0225262948177948,100,100,100,0.174338616952899,1
1277,"HH",0.0327129162670834,NA,0.0201770444006111,NA,100,100,NA,0.138129482348129,1
1277,"HH-ANT",0.018919002411505,-0.0239277066846359,0.023908991112535,0.0222930490741841,100,100,100,0.138792832489208,1
1278,"HH",0.0316227953090824,NA,0.020564232894583,NA,100,100,NA,0.182442623986967,1
1278,"HH-ANT",0.0437423404541121,0.0207268909845614,0.0244462444570182,0.0226059805517344,100,100,100,0.182526571998295,1
1279,"HH",0.00900904861784927,NA,0.0202733749308499,NA,100,100,NA,0.141161551309572,1
1279,"HH-ANT",0.0278855174353549,0.0327158873210685,0.0240153878102747,0.0223863439111877,100,100,100,0.140305169872744,1
1280,"HH",-0.0436481566116908,NA,0.0203365413122902,NA,0,0,NA,0.133979661591176,1
1280,"HH-ANT",-0.0470085629370907,-0.0058615137381212,0.0240772039000938,0.0224903225674036,100,100,100,0.134068921275485,1
1281,"HH",0.0384107128205273,NA,0.02020675122132,NA,100,100,NA,0.153303029641686,1
1281,"HH-ANT",0.0378539034041095,-0.0009595988765601,0.023976187114778,0.0222737361909403,100,100,100,0.153350150530959,1
1282,"HH",0.0314310318343905,NA,0.0202772845992913,NA,100,100,NA,0.150725426830304,1
1282,"HH-ANT",0.0305863209815775,-0.00145693105532158,0.0240530633584307,0.0223609073367838,100,100,100,0.150787804833688,1
1283,"HH",-0.0268189506432087,NA,0.0203898591737143,NA,100,100,NA,0.142507767391929,1
